Molcode   Qmax   Concentration   Correlations 
DimethylammoniumTrifluoroacetate_R  7.788  0.5  0.03550 -0.14334 -0.01323 0.01718 0.00271 -0.00199 -0.00046 0.00022 0.00007 -0.00002 -0.00001 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 -0.00000
DimethylammoniumTrifluoroacetate_R  6.986  0.5  0.19811 -0.35897 -0.25394 0.06532 0.15315 0.03479 -0.05997 -0.04326 0.01055 0.02584 0.00610 -0.01002 -0.00737 0.00170 0.00436 0.00107 -0.00167 -0.00125 0.00027 0.00073
DimethylammoniumTrifluoroacetate_R  7.084  0.5  -0.11668 -0.12783 0.03844 0.00828 -0.00625 0.00018 0.00073 -0.00016 -0.00006 0.00003 0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 0.00000
DimethylammoniumTrifluoroacetate_R  6.479  0.5  0.07273 -0.18467 -0.06357 0.04269 0.02909 -0.00666 -0.01044 -0.00028 0.00315 0.00079 -0.00080 -0.00042 0.00015 0.00016 -0.00001 -0.00005 -0.00001 0.00001 0.00001 -0.00000
DimethylammoniumTrifluoroacetate_R  7.664  0.5  0.19977 -0.15652 -0.11355 -0.00824 0.02453 0.01213 -0.00104 -0.00341 -0.00115 0.00037 0.00043 0.00009 -0.00007 -0.00005 -0.00000 0.00001 0.00001 -0.00000 -0.00000 -0.00000
DimethylammoniumTrifluoroacetate_R  7.331  0.5  0.28507 -0.11073 -0.12122 -0.03637 0.00913 0.01293 0.00449 -0.00066 -0.00136 -0.00054 0.00004 0.00014 0.00006 0.00000 -0.00001 -0.00001 -0.00000 0.00000 0.00000 0.00000
DimethylammoniumTrifluoroacetate_R  6.624  0.5  -0.21328 -0.56330 0.25483 0.16610 -0.15700 -0.02517 0.07428 -0.01087 -0.02851 0.01293 0.00840 -0.00796 -0.00127 0.00376 -0.00055 -0.00144 0.00066 0.00042 -0.00040 -0.00006
DimethylammoniumTrifluoroacetate_R  6.371  0.5  -0.05064 -0.23204 0.04761 0.06768 -0.02438 -0.01832 0.01027 0.00446 -0.00389 -0.00090 0.00136 0.00010 -0.00045 0.00003 0.00014 -0.00003 -0.00004 0.00001 0.00001 -0.00001
DimethylammoniumTrifluoroacetate_R  7.726  0.5  -0.11339 -0.35227 0.09341 0.08405 -0.04117 -0.01678 0.01463 0.00224 -0.00455 0.00015 0.00127 -0.00026 -0.00032 0.00013 0.00007 -0.00005 -0.00001 0.00002 0.00000 -0.00000
DimethylammoniumTrifluoroacetate_R  6.863  0.5  0.34901 -0.23788 -0.36826 -0.14892 0.08702 0.14622 0.06315 -0.03152 -0.05795 -0.02663 0.01128 0.02292 0.01118 -0.00398 -0.00905 -0.00467 0.00138 0.00357 0.00194 -0.00046
DimethylammoniumTrifluoroacetate_R  6.757  0.5  -0.17744 -0.37774 0.27919 0.09639 -0.21040 0.03937 0.10707 -0.07263 -0.03031 0.05714 -0.00823 -0.03021 0.01878 0.00934 -0.01547 0.00155 0.00849 -0.00483 -0.00283 0.00417
DimethylammoniumTrifluoroacetate_R  6.453  0.5  0.09937 -0.19062 -0.09796 0.03755 0.04780 0.00185 -0.01678 -0.00611 0.00412 0.00356 -0.00034 -0.00141 -0.00033 0.00040 0.00025 -0.00007 -0.00011 -0.00001 0.00004 0.00002
Dimethylammonium_RDimethylcarbonate  6.942  0.5  -0.08091 -0.15215 0.05993 0.02570 -0.02252 -0.00123 0.00634 -0.00127 -0.00138 0.00069 0.00020 -0.00023 0.00001 0.00006 -0.00002 -0.00001 0.00001 0.00000 -0.00000 0.00000
Dimethylammonium_RDimethylcarbonate  6.819  0.5  0.19333 -0.20604 -0.09798 0.01213 0.02284 0.00424 -0.00327 -0.00179 0.00012 0.00039 0.00009 -0.00005 -0.00003 0.00000 0.00001 0.00000 -0.00000 -0.00000 -0.00000 0.00000
Dimethylammonium_RDimethylcarbonate  6.668  0.5  0.05416 -0.24562 -0.02998 0.04344 0.00911 -0.00737 -0.00230 0.00119 0.00053 -0.00018 -0.00011 0.00002 0.00002 -0.00000 -0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000
Dimethylammonium_RDimethylcarbonate  7.815  0.5  -0.04484 -0.21516 0.04315 0.06457 -0.02265 -0.01809 0.00980 0.00461 -0.00381 -0.00100 0.00138 0.00014 -0.00047 0.00001 0.00015 -0.00002 -0.00005 0.00001 0.00001 -0.00001
Dimethylammonium_RDimethylcarbonate  6.566  0.5  -0.00457 -0.17909 0.00196 0.02563 -0.00047 -0.00367 0.00009 0.00052 -0.00002 -0.00007 0.00000 0.00001 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000
Dimethylammonium_RDimethylcarbonate  7.857  0.5  0.10896 -0.15501 -0.07601 0.01767 0.02542 0.00310 -0.00576 -0.00257 0.00073 0.00090 0.00008 -0.00021 -0.00009 0.00003 0.00003 0.00000 -0.00001 -0.00000 0.00000 0.00000
Dimethylammonium_RDimethylcarbonate  7.011  0.5  0.00449 -0.11613 -0.00147 0.01265 0.00027 -0.00138 -0.00004 0.00015 0.00001 -0.00002 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000
Dimethylammonium_RDimethylcarbonate  7.076  0.5  0.11190 -0.24583 -0.05851 0.03575 0.01621 -0.00400 -0.00358 0.00018 0.00068 0.00007 -0.00011 -0.00003 0.00002 0.00001 -0.00000 -0.00000 0.00000 0.00000 0.00000 -0.00000
Dimethylammonium_RDimethylcarbonate  7.646  0.5  -0.11889 -0.25173 0.07320 0.04086 -0.02358 -0.00443 0.00595 -0.00016 -0.00126 0.00027 0.00022 -0.00010 -0.00003 0.00003 0.00000 -0.00001 0.00000 0.00000 -0.00000 -0.00000
Dimethylammonium_RDimethylcarbonate  6.112  0.5  0.36659 -0.51547 -0.55473 -0.01955 0.33980 0.22474 -0.07519 -0.18960 -0.07076 0.07609 0.09245 0.00949 -0.05274 -0.03898 0.00911 0.03043 0.01323 -0.01104 -0.01529 -0.00255
Dimethylammonium_RDimethylcarbonate  7.746  0.5  -0.17357 -0.10573 0.04748 -0.00038 -0.00532 0.00144 0.00023 -0.00022 0.00003 0.00002 -0.00001 0.00000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 0.00000 -0.00000
Dimethylammonium_RDimethylcarbonate  6.233  0.5  -0.15209 -0.26608 0.20410 0.04276 -0.12636 0.03705 0.04842 -0.04202 -0.00549 0.02446 -0.00862 -0.00869 0.00857 0.00050 -0.00470 0.00194 0.00153 -0.00173 0.00001 0.00090
Dimethylammonium_RDimethylcarbonate  7.024  0.5  0.07918 -0.16369 -0.06615 0.03213 0.02821 -0.00237 -0.00910 -0.00164 0.00231 0.00109 -0.00041 -0.00044 0.00001 0.00013 0.00003 -0.00003 -0.00002 0.00001 0.00001 0.00000
Dimethylammonium_RDimethylcarbonate  6.450  0.5  -0.06897 -0.21154 0.05754 0.05082 -0.02565 -0.01010 0.00920 0.00128 -0.00288 0.00014 0.00081 -0.00018 -0.00020 0.00009 0.00004 -0.00003 -0.00001 0.00001 -0.00000 -0.00000
Dimethylammonium_RDimethylcarbonate_R  7.785  0.5  0.33656 -0.25656 -0.21331 -0.02599 0.04820 0.02957 0.00004 -0.00833 -0.00385 0.00057 0.00135 0.00046 -0.00017 -0.00021 -0.00005 0.00004 0.00003 0.00000 -0.00001 -0.00000
Dimethylammonium_RDimethylcarbonate_R  7.857  0.5  0.08204 -0.10879 -0.03217 0.00945 0.00636 -0.00015 -0.00094 -0.00015 0.00010 0.00004 -0.00001 -0.00001 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000
Dimethylammonium_RDimethylcarbonate_R  7.520  0.5  0.06927 -0.09241 -0.01815 0.00626 0.00248 -0.00027 -0.00026 -0.00001 0.00002 0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000
Dimethylammonium_RDimethylcarbonate_R  6.672  0.5  0.23645 -0.62923 -0.34648 0.21145 0.25786 -0.02133 -0.14408 -0.03936 0.06247 0.04281 -0.01803 -0.02902 -0.00065 0.01514 0.00567 -0.00603 -0.00512 0.00139 0.00320 0.00039
Dimethylammonium_RDimethylcarbonate_R  6.820  0.5  0.30168 -0.19606 -0.21441 -0.05386 0.04318 0.04290 0.00942 -0.00941 -0.00855 -0.00160 0.00203 0.00170 0.00026 -0.00043 -0.00034 -0.00004 0.00009 0.00007 0.00001 -0.00002
Dimethylammonium_RDimethylcarbonate_R  6.121  0.5  0.20675 -0.45595 -0.27464 0.11951 0.18020 0.00977 -0.08474 -0.03698 0.02755 0.02862 -0.00266 -0.01506 -0.00441 0.00571 0.00434 -0.00116 -0.00257 -0.00041 0.00111 0.00062
Dimethylammonium_RDimethylcarbonate_R  6.874  0.5  -0.19416 -0.43612 0.32904 0.12379 -0.26833 0.04711 0.14920 -0.10024 -0.04815 0.08665 -0.00999 -0.05064 0.03019 0.01814 -0.02781 0.00149 0.01706 -0.00897 -0.00667 0.00887
Dimethylammonium_RDimethylcarbonate_R  6.698  0.5  -0.28459 -0.29654 0.24233 -0.00836 -0.08291 0.04223 0.00974 -0.01975 0.00585 0.00431 -0.00414 0.00041 0.00129 -0.00076 -0.00010 0.00032 -0.00011 -0.00006 0.00007 -0.00001
Dimethylammonium_RDimethylcarbonate_R  7.642  0.5  -0.14943 -0.15125 0.08171 0.00632 -0.01983 0.00508 0.00266 -0.00197 0.00006 0.00041 -0.00015 -0.00004 0.00005 -0.00001 -0.00001 0.00000 0.00000 -0.00000 0.00000 0.00000
Dimethylammonium_RDimethylcarbonate_R  6.043  0.5  -0.25598 -0.30332 0.17987 0.01950 -0.05686 0.01501 0.01037 -0.00789 -0.00004 0.00220 -0.00078 -0.00033 0.00033 -0.00003 -0.00008 0.00004 0.00001 -0.00001 0.00000 0.00000
Dimethylammonium_RDimethylcarbonate_R  7.031  0.5  -0.08566 -0.48065 0.09966 0.17573 -0.06336 -0.06056 0.03327 0.01930 -0.01576 -0.00545 0.00696 0.00119 -0.00290 -0.00007 0.00115 -0.00013 -0.00044 0.00011 0.00016 -0.00007
Dimethylammonium_RDimethylcarbonate_R  6.295  0.5  -0.21628 -0.17034 0.12375 -0.00889 -0.02695 0.01331 0.00118 -0.00378 0.00127 0.00041 -0.00048 0.00010 0.00008 -0.00006 0.00000 0.00001 -0.00001 -0.00000 0.00000 -0.00000
Dimethylammonium_RDimethylcarbonate_R  7.199  0.5  0.13124 -0.32283 -0.11389 0.07300 0.05158 -0.01062 -0.01824 -0.00091 0.00539 0.00151 -0.00131 -0.00076 0.00023 0.00028 -0.00000 -0.00009 -0.00002 0.00002 0.00001 -0.00000
Dimethylammonium_RDimethylcarbonate_R  6.533  0.5  0.11435 -0.12773 -0.06673 0.00793 0.01775 0.00384 -0.00283 -0.00178 0.00008 0.00043 0.00012 -0.00006 -0.00005 -0.00000 0.00001 0.00000 -0.00000 -0.00000 -0.00000 0.00000
Dimethylammonium_REthanol  6.048  0.5  0.11085 -0.10044 -0.04662 0.00364 0.00878 0.00186 -0.00094 -0.00057 -0.00000 0.00009 0.00003 -0.00001 -0.00001 -0.00000 0.00000 0.00000 -0.00000 -0.00000 -0.00000 0.00000
Dimethylammonium_REthanol  6.933  0.5  0.01080 -0.13583 -0.00584 0.02438 0.00175 -0.00436 -0.00044 0.00077 0.00010 -0.00014 -0.00002 0.00002 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000
Dimethylammonium_REthanol  6.413  0.5  0.00601 -0.11279 -0.00182 0.01139 0.00031 -0.00115 -0.00004 0.00012 0.00001 -0.00001 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000
Dimethylammonium_REthanol  6.443  0.5  0.21599 -0.31259 -0.17874 0.03616 0.06946 0.01302 -0.01745 -0.01028 0.00191 0.00394 0.00078 -0.00097 -0.00059 0.00010 0.00022 0.00005 -0.00005 -0.00003 0.00001 0.00001
Dimethylammonium_REthanol  6.550  0.5  0.12656 -0.08249 -0.05515 -0.00480 0.00879 0.00421 -0.00011 -0.00085 -0.00030 0.00005 0.00008 0.00002 -0.00001 -0.00001 -0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000
Dimethylammonium_REthanol  6.772  0.5  0.26361 -0.14629 -0.15889 -0.04277 0.02436 0.02612 0.00694 -0.00405 -0.00429 -0.00112 0.00067 0.00071 0.00018 -0.00011 -0.00012 -0.00003 0.00002 0.00002 0.00000 -0.00000
Dimethylammonium_REthanol  7.148  0.5  0.00829 -0.41191 -0.01489 0.24630 0.01485 -0.14713 -0.01244 0.08780 0.00957 -0.05235 -0.00699 0.03118 0.00494 -0.01855 -0.00340 0.01103 0.00230 -0.00655 -0.00154 0.00388
Dimethylammonium_REthanol  6.157  0.5  0.29993 -0.33266 -0.43817 -0.09645 0.21983 0.22235 0.01524 -0.13588 -0.10812 0.01173 0.07988 0.04989 -0.01676 -0.04505 -0.02144 0.01429 0.02447 0.00822 -0.01023 -0.01282
Dimethylammonium_REthanol  6.279  0.5  0.18095 -0.76219 -0.28745 0.34816 0.24389 -0.13126 -0.16646 0.03112 0.09919 0.00735 -0.05272 -0.01704 0.02478 0.01548 -0.00981 -0.01093 0.00270 0.00667 0.00016 -0.00363
Dimethylammonium_REthanol  6.898  0.5  0.01269 -0.33969 -0.01020 0.09087 0.00455 -0.02427 -0.00171 0.00647 0.00059 -0.00172 -0.00019 0.00046 0.00006 -0.00012 -0.00002 0.00003 0.00001 -0.00001 -0.00000 0.00000
Dimethylammonium_REthanol  7.020  0.5  0.12230 -0.36951 -0.16755 0.13023 0.11944 -0.02822 -0.06622 -0.00570 0.03046 0.01169 -0.01136 -0.00900 0.00288 0.00521 0.00013 -0.00249 -0.00079 0.00098 0.00067 -0.00028
Dimethylammonium_REthanol  7.120  0.5  -0.11070 -0.07057 0.02831 0.00061 -0.00309 0.00067 0.00016 -0.00011 0.00001 0.00001 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000
Dimethylammonium_REthanol  7.369  0.5  0.08883 -0.48651 -0.11011 0.18819 0.07446 -0.06803 -0.04149 0.02241 0.02080 -0.00632 -0.00970 0.00121 0.00426 0.00013 -0.00177 -0.00032 0.00070 0.00024 -0.00026 -0.00014
Dimethylammonium_REthanol  6.772  0.5  0.26144 -0.29620 -0.18531 0.01431 0.05787 0.01768 -0.00975 -0.00867 -0.00049 0.00227 0.00099 -0.00027 -0.00038 -0.00007 0.00008 0.00005 -0.00000 -0.00002 -0.00000 0.00000
Dimethylammonium_REthanol_R  6.356  0.5  -0.17762 -0.23908 0.15460 0.02093 -0.06103 0.01683 0.01424 -0.01134 -0.00041 0.00403 -0.00145 -0.00081 0.00081 -0.00004 -0.00026 0.00012 0.00004 -0.00006 0.00001 0.00002
Dimethylammonium_REthanol_R  6.113  0.5  -0.05402 -0.18152 0.04465 0.04438 -0.01985 -0.00941 0.00716 0.00152 -0.00228 -0.00006 0.00066 -0.00009 -0.00017 0.00005 0.00004 -0.00002 -0.00001 0.00001 0.00000 -0.00000
Dimethylammonium_REthanol_R  6.550  0.5  0.36855 -0.39314 -0.43609 -0.06482 0.18764 0.15011 -0.00502 -0.08152 -0.04789 0.01292 0.03302 0.01371 -0.00875 -0.01258 -0.00322 0.00458 0.00452 0.00041 -0.00211 -0.00152
Dimethylammonium_REthanol_R  7.356  0.5  0.13013 -0.35429 -0.09612 0.07392 0.03775 -0.01229 -0.01187 0.00105 0.00323 0.00030 -0.00078 -0.00021 0.00016 0.00008 -0.00003 -0.00003 0.00000 0.00001 0.00000 -0.00000
Dimethylammonium_REthanol_R  7.982  0.5  0.10772 -0.06994 -0.03501 -0.00063 0.00460 0.00142 -0.00021 -0.00026 -0.00005 0.00002 0.00001 0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 -0.00000
Dimethylammonium_REthanol_R  6.033  0.5  -0.08438 -0.18402 0.06900 0.03709 -0.02908 -0.00382 0.00941 -0.00115 -0.00247 0.00093 0.00050 -0.00039 -0.00005 0.00013 -0.00002 -0.00003 0.00001 0.00001 -0.00001 -0.00000
Dimethylammonium_REthanol_R  6.675  0.5  -0.26661 -0.65347 0.45087 0.21363 -0.37529 0.02914 0.22250 -0.11489 -0.08951 0.11087 0.00794 -0.07292 0.02670 0.03409 -0.03153 -0.00767 0.02309 -0.00522 -0.01220 0.00857
Dimethylammonium_REthanol_R  7.840  0.5  0.30205 -0.10663 -0.11585 -0.03492 0.00699 0.01075 0.00385 -0.00035 -0.00098 -0.00041 0.00000 0.00009 0.00004 0.00000 -0.00001 -0.00000 -0.00000 0.00000 0.00000 0.00000
Dimethylammonium_REthanol_R  7.667  0.5  0.10162 -0.29077 -0.08595 0.06901 0.03860 -0.01287 -0.01384 0.00112 0.00429 0.00050 -0.00117 -0.00037 0.00027 0.00016 -0.00005 -0.00006 0.00000 0.00002 0.00000 -0.00000
Dimethylammonium_REthanol_R  6.322  0.5  -0.13802 -0.21832 0.06626 0.02481 -0.01626 -0.00112 0.00302 -0.00039 -0.00045 0.00015 0.00005 -0.00004 -0.00000 0.00001 -0.00000 -0.00000 0.00000 0.00000 -0.00000 0.00000
Dimethylammonium_REthanol_R  7.586  0.5  -0.08993 -0.84026 0.17801 0.53493 -0.19380 -0.32924 0.17542 0.19476 -0.14427 -0.10951 0.11153 0.05731 -0.08238 -0.02661 0.05864 0.00949 -0.04041 -0.00065 0.02702 -0.00337
Dimethylammonium_REthanol_R  6.712  0.5  0.08831 -0.14372 -0.05529 0.01935 0.01736 -0.00018 -0.00401 -0.00094 0.00069 0.00038 -0.00006 -0.00010 -0.00001 0.00002 0.00001 -0.00000 -0.00000 0.00000 0.00000 0.00000
Dimethylammonium_REthanol_R  6.900  0.5  -0.18302 -0.15334 0.08222 0.00202 -0.01571 0.00462 0.00141 -0.00130 0.00015 0.00019 -0.00009 -0.00001 0.00002 -0.00000 -0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000
Dimethylammonium_REthanol_R  6.074  0.5  0.02401 -0.30816 -0.02021 0.08578 0.00943 -0.02371 -0.00369 0.00651 0.00132 -0.00177 -0.00045 0.00048 0.00015 -0.00013 -0.00005 0.00003 0.00001 -0.00001 -0.00000 0.00000
Dimethylammonium_RDichloroethane_anti  7.094  0.5  -0.05493 -0.50717 0.05638 0.17026 -0.03197 -0.05620 0.01515 0.01821 -0.00656 -0.00578 0.00268 0.00179 -0.00105 -0.00054 0.00040 0.00016 -0.00015 -0.00004 0.00005 0.00001
Dimethylammonium_RDichloroethane_anti  6.092  0.5  0.06914 -0.10140 -0.03488 0.01104 0.00883 -0.00010 -0.00165 -0.00034 0.00023 0.00011 -0.00002 -0.00002 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000
Dimethylammonium_RDichloroethane_anti  7.809  0.5  0.10423 -0.06268 -0.02860 -0.00038 0.00318 0.00089 -0.00013 -0.00014 -0.00002 0.00001 0.00001 0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 -0.00000
Dimethylammonium_RDichloroethane_anti  6.654  0.5  0.30019 -0.23101 -0.16883 -0.01331 0.03576 0.01803 -0.00129 -0.00494 -0.00173 0.00049 0.00063 0.00014 -0.00010 -0.00007 -0.00001 0.00002 0.00001 -0.00000 -0.00000 -0.00000
Dimethylammonium_RDichloroethane_anti  7.236  0.5  0.10020 -0.11284 -0.03265 0.00754 0.00529 0.00006 -0.00062 -0.00012 0.00005 0.00002 -0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 -0.00000 0.00000 0.00000
Dimethylammonium_RDichloroethane_anti  6.820  0.5  -0.10468 -0.17728 0.06835 0.02538 -0.02247 -0.00052 0.00547 -0.00122 -0.00100 0.00053 0.00011 -0.00015 0.00001 0.00003 -0.00001 -0.00001 0.00000 0.00000 -0.00000 0.00000
Dimethylammonium_RDichloroethane_anti  7.822  0.5  -0.11047 -0.10134 0.05966 0.00156 -0.01370 0.00443 0.00148 -0.00149 0.00019 0.00026 -0.00013 -0.00001 0.00003 -0.00001 -0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000
Dimethylammonium_RDichloroethane_anti  7.907  0.5  0.07919 -0.24013 -0.05165 0.04651 0.01814 -0.00786 -0.00517 0.00103 0.00130 -0.00005 -0.00030 -0.00003 0.00006 0.00002 -0.00001 -0.00001 0.00000 0.00000 -0.00000 -0.00000
Dimethylammonium_RDichloroethane_anti  7.835  0.5  0.18222 -0.13000 -0.07410 -0.00208 0.01204 0.00432 -0.00064 -0.00095 -0.00020 0.00010 0.00007 0.00001 -0.00001 -0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 -0.00000
Dimethylammonium_RDichloroethane_anti  6.504  0.5  -0.02354 -0.12050 0.01325 0.02185 -0.00410 -0.00384 0.00106 0.00065 -0.00025 -0.00011 0.00005 0.00002 -0.00001 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 -0.00000
Dimethylammonium_RDichloroethane_anti  6.846  0.5  -0.01371 -0.10256 0.00411 0.01017 -0.00068 -0.00100 0.00010 0.00010 -0.00001 -0.00001 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000
Dimethylammonium_RDichloroethane_anti  7.710  0.5  -0.06438 -0.18812 0.02825 0.02533 -0.00673 -0.00312 0.00132 0.00034 -0.00023 -0.00003 0.00004 0.00000 -0.00001 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000
Dimethylammonium_RDichloroethane_anti  7.270  0.5  0.16309 -0.18634 -0.12068 0.00850 0.03911 0.01265 -0.00670 -0.00635 -0.00047 0.00170 0.00080 -0.00019 -0.00031 -0.00006 0.00007 0.00005 -0.00000 -0.00001 -0.00000 0.00000
Dimethylammonium_RDichloroethane_anti  7.077  0.5  0.02874 -0.13307 -0.01540 0.02285 0.00453 -0.00378 -0.00111 0.00060 0.00025 -0.00009 -0.00005 0.00001 0.00001 -0.00000 -0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000
Dimethylammonium_RDichloroethane_anti_R  7.617  0.5  -0.14106 -0.16562 0.09598 0.01066 -0.02946 0.00749 0.00526 -0.00386 -0.00006 0.00105 -0.00036 -0.00016 0.00015 -0.00001 -0.00004 0.00002 0.00000 -0.00001 0.00000 0.00000
Dimethylammonium_RDichloroethane_anti_R  7.010  0.5  0.04153 -0.27152 -0.02824 0.06003 0.01060 -0.01297 -0.00332 0.00273 0.00095 -0.00056 -0.00025 0.00011 0.00007 -0.00002 -0.00002 0.00000 0.00000 -0.00000 -0.00000 0.00000
Dimethylammonium_RDichloroethane_anti_R  7.811  0.5  0.20665 -0.49838 -0.29180 0.14915 0.20613 -0.00052 -0.10669 -0.03934 0.04052 0.03537 -0.00780 -0.02117 -0.00383 0.00952 0.00551 -0.00287 -0.00391 0.00003 0.00203 0.00074
Dimethylammonium_RDichloroethane_anti_R  6.923  0.5  -0.28917 -0.63630 0.46216 0.17312 -0.35628 0.05736 0.18820 -0.11976 -0.05888 0.09868 -0.00932 -0.05510 0.03057 0.01927 -0.02711 0.00070 0.01598 -0.00766 -0.00614 0.00739
Dimethylammonium_RDichloroethane_anti_R  6.235  0.5  0.33831 -0.24348 -0.40555 -0.17742 0.10696 0.19593 0.09230 -0.04635 -0.09443 -0.04769 0.01975 0.04539 0.02449 -0.00823 -0.02176 -0.01251 0.00333 0.01041 0.00636 -0.00129
Dimethylammonium_RDichloroethane_anti_R  6.892  0.5  0.17845 -0.12004 -0.04875 0.00148 0.00575 0.00123 -0.00034 -0.00022 -0.00002 0.00002 0.00001 -0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000
Dimethylammonium_RDichloroethane_anti_R  6.634  0.5  -0.08326 -0.27979 0.06427 0.06442 -0.02674 -0.01303 0.00905 0.00209 -0.00271 -0.00014 0.00074 -0.00007 -0.00018 0.00005 0.00004 -0.00002 -0.00001 0.00001 0.00000 -0.00000
Dimethylammonium_RDichloroethane_anti_R  6.072  0.5  0.05100 -0.37682 -0.04035 0.09715 0.01762 -0.02453 -0.00642 0.00605 0.00214 -0.00146 -0.00067 0.00034 0.00020 -0.00008 -0.00006 0.00002 0.00002 -0.00000 -0.00000 0.00000
Dimethylammonium_RDichloroethane_anti_R  6.131  0.5  0.17220 -0.09417 -0.06087 -0.00653 0.00741 0.00367 0.00012 -0.00054 -0.00021 0.00001 0.00004 0.00001 -0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000 -0.00000 -0.00000
Dimethylammonium_RDichloroethane_anti_R  7.318  0.5  0.04796 -0.61041 -0.06287 0.26340 0.04563 -0.11239 -0.02772 0.04739 0.01540 -0.01973 -0.00811 0.00810 0.00411 -0.00327 -0.00203 0.00129 0.00098 -0.00050 -0.00046 0.00019
Dimethylammonium_RDichloroethane_anti_R  7.802  0.5  0.45410 -0.25036 -0.31602 -0.10444 0.04889 0.06735 0.02386 -0.00944 -0.01432 -0.00542 0.00180 0.00304 0.00122 -0.00034 -0.00064 -0.00027 0.00006 0.00014 0.00006 -0.00001
Dimethylammonium_RDichloroethane_anti_R  7.484  0.5  -0.37687 -0.41341 0.37861 -0.02267 -0.14982 0.08854 0.01740 -0.04698 0.01730 0.01097 -0.01316 0.00224 0.00444 -0.00330 -0.00016 0.00149 -0.00072 -0.00026 0.00044 -0.00012
Dimethylammonium_RDichloroethane_anti_R  6.245  0.5  0.02706 -0.06445 -0.00860 0.00624 0.00148 -0.00055 -0.00021 0.00004 0.00003 -0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000
Dimethylammonium_RDichloroethane_anti_R  7.682  0.5  -0.12283 -0.27360 0.07073 0.04320 -0.02151 -0.00508 0.00519 0.00015 -0.00107 0.00015 0.00019 -0.00006 -0.00003 0.00002 0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000
Dimethylammonium_REthylammonium  7.596  0.5  -0.14495 -0.10831 0.03585 0.00315 -0.00408 0.00052 0.00029 -0.00011 -0.00001 0.00001 -0.00000 -0.00000 0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 0.00000 0.00000
Dimethylammonium_REthylammonium  7.094  0.5  0.09931 -0.18245 -0.05718 0.02596 0.01698 -0.00191 -0.00387 -0.00039 0.00072 0.00022 -0.00010 -0.00007 0.00001 0.00002 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000
Dimethylammonium_REthylammonium  7.357  0.5  -0.07791 -0.07999 0.03256 0.00465 -0.00639 0.00086 0.00081 -0.00034 -0.00004 0.00007 -0.00001 -0.00001 0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 -0.00000 0.00000
Dimethylammonium_REthylammonium  6.632  0.5  -0.18364 -0.22673 0.23449 -0.01614 -0.11781 0.07877 0.01721 -0.05302 0.02215 0.01564 -0.02133 0.00417 0.00911 -0.00768 -0.00039 0.00440 -0.00241 -0.00096 0.00188 -0.00059
Dimethylammonium_REthylammonium  6.190  0.5  0.05615 -0.16133 -0.03756 0.03150 0.01347 -0.00521 -0.00390 0.00061 0.00099 0.00001 -0.00023 -0.00004 0.00005 0.00002 -0.00001 -0.00000 0.00000 0.00000 -0.00000 -0.00000
